Total Nacional;Comunidades y Ciudades Autónomas;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Ambos sexos;2022;8500187
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Ambos sexos;2022;1326315
Total Nacional;03 Asturias, Principado de;TOTAL EDADES;TOTAL;Ambos sexos;2022;1004686
Total Nacional;04 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1176659
Total Nacional;05 Canarias;TOTAL EDADES;TOTAL;Ambos sexos;2022;2177701
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585402
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Ambos sexos;2022;2372640
Total Nacional;08 Castilla - La Mancha;TOTAL EDADES;TOTAL;Ambos sexos;2022;2053328
Total Nacional;09 Cataluña;TOTAL EDADES;TOTAL;Ambos sexos;2022;7792611
Total Nacional;10 Comunitat Valenciana;TOTAL EDADES;TOTAL;Ambos sexos;2022;5097967
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Ambos sexos;2022;1054776
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Ambos sexos;2022;2690464
Total Nacional;13 Madrid, Comunidad de;TOTAL EDADES;TOTAL;Ambos sexos;2022;6750336
Total Nacional;14 Murcia, Región de;TOTAL EDADES;TOTAL;Ambos sexos;2022;1531878
Total Nacional;15 Navarra, Comunidad Foral de;TOTAL EDADES;TOTAL;Ambos sexos;2022;664117
Total Nacional;16 País Vasco;TOTAL EDADES;TOTAL;Ambos sexos;2022;2208174
Total Nacional;17 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2022;319892
Total Nacional;18 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2022;83117
Total Nacional;19 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;85170
